complex_id,complex_name,name_yandex,longitude,latitude,builder_id
96,Южная долина,ЖК Южная долина,30.642198999999998,59.98532900000001,8093
44193,Орловский парк,Орловский парк,30.269371000000003,60.056063,9
25135,Дом на Космонавтов,ЖК Дом на Космонавтов,30.352259000000004,59.839721999999995,8110
14272,Цвета Радуги,ЖК Цвета Радуги,30.446569,60.069297999999996,8115
38206,Жемчужный берег,ЖК Жемчужный Берег,30.151388,59.857277,1608
20737,Алгоритм,ЖК Алгоритм,30.749739,60.025642000000005,10109
37381,Magnifika Lifestyle (Магнифика Лайфстайл),ЖК Magnifika Lifestyle,30.417456,59.93631,2573
7461,Английская миля,ЖК Английская миля,30.108154,59.846106999999996,9164
50194,Парковый,ЖК Парковый,30.300366999999998,60.216141,8135
42906,Апартаменты Vertiсal We & I,Апарт-отель Vertical We & I,30.333591,59.982079000000006,12234
7446,ЦДС Приневский,ЖК ЦДС Приневский,30.510782,59.86683299999999,2351
49395,Инвест-отель IN2IT,Инвест-отель In2It,30.372974,59.829678,14637
7770,Богемия,ЖК Богемия,30.323069,59.904938,8114
49442,"Дом на Лабораторном, 23А","Дом на Лабораторном, 23а",30.387496999999996,59.982323,14641
38879,Golden City (Голден Сити),ЖК Golden City,30.192514000000003,59.94116999999999,9164
7202,Четыре горизонта,Дом Четыре горизонта,30.40539,59.957211,8077
49445,Оазис,ЖК Оазис,30.327513,59.824684,14643
53193,Veren Village Стрельна (Верен Вилладж Стрельна),ЖК Veren Village стрельна,30.071745,59.848835,10814
23520,Дом у Каретного,Дом у Каретного,30.356361,59.91000699999999,5733
47273,Magnifika Residence (Магнифика Резиденс),ЖК Magnifika Residence,30.419287,59.935508999999996,2573
48694,ЦДС Полюстрово,ЖК ЦДС Полюстрово,30.415258,59.971180000000004,2351
43093,Like (Лайк),Апарт-отель Like,30.357164,59.993687,8133
6453,Ultra City (Ультра Сити),ЖК Ultra City,30.225943,60.035412,7132
47147,Цивилизация на Неве,ЖК Цивилизация,30.450703000000004,59.902184,8114
48000,ЦДС Северный,ЦДС,30.405949,60.066970999999995,2351
7391,ЦДС Северные высоты,ЦДС,30.405638,60.067944,2351
31316,Ligovsky city-Первый квартал (Лиговский сити-Первый квартал),ЖК Первый Квартал,30.341654,59.905434,9164
7439,Александровский,ЖК Александровский,30.410915000000003,59.68861,9184
44981,YE'S Residence (Йес Резиденс),Жилой дом Ye’s Residence,30.346228000000004,59.919624,514
33807,Legenda Героев,ЖК Legenda Героев,30.152653000000004,59.858787,8075
5290,Смольный проспект,ЖК Смольный проспект,30.39572,59.943878000000005,8165
6874,Дом на Тамбовской,Дом на Тамбовской,30.354063,59.913689,1325
6953,Граффити,ЖК Граффити,30.248812,60.029198,2747
47189,Дом на Зелейной,Дом на Зелейной,30.283666999999998,59.96499300000001,14306
50188,Болконский,Дом Болконский,30.302288,59.912426,8077
49129,ЦДС Черная речка,ЖК ЦДС Чёрная речка,30.323263,59.984145999999996,2351
7405,ЦДС Муринский Посад,ЖК ЦДС Муринский Посад,30.461576,60.060474,2351
49051,Red Village (Рэд Вилледж),ЖК Red Village,30.10033,59.731719999999996,1247
54739,Урбанист,ЖК Урбанист,30.441311,60.066288,8115
42599,Полис на Комендантском,ЖК Полис на Комендантском,30.214634000000004,60.035522,8130
7448,Duderhof Club,Квартал Duderhof Club,30.157063,59.850882999999996,1608
38464,Дальневосточный 15,Дальневосточный 15,30.459149,59.897966000000004,9
7454,ЦДС Весна-2,ЦДС,30.511089000000002,59.907101000000004,2351
7064,Три ветра,ЖК Три ветра,30.225004,59.982552,8114
48789,Авиатор (Aviator),ЖК Авиатор,30.445946000000003,60.065475,8115
51185,ЦДС Волковский,ЖК ЦДС Волковский,30.363697,59.899929,2351
31321,Ренессанс,ЖК Ренессанс,30.454744,59.901463,9079
7373,Смольный парк,ЖК Смольный парк,30.392458,59.952498999999996,8114
7266,ЦДС Дюна,ЖК ЦДС Дюна,29.953678000000004,60.091263,2351
16507,UP-квартал Комендантский,UP-квартал Комендантский,30.254265000000004,60.026943,9085
29472,VALO (Вало),VALO,30.367620000000002,59.884792000000004,15172
36514,Клубные апартаменты Next,Апарт-комплекс Next,30.249119,59.937653000000005,9144
48697,ЦДС Елизаровский,ЖК ЦДС Елизаровский,30.414071999999997,59.889198,2351
49769,RIVIERE NOIRE (Ривьер Нуар),ЖК Riviere Noire,30.320127000000003,59.982657999999994,8114
7408,ЦДС Кантемировский,ЦДС,30.376540999999996,59.988201000000004,2351
45243,NEVA HAUS (НЕВА ХАУС),ЖК Neva Haus,30.26046,59.962284,8114
40728,Биография,ЖК Биография,30.289534000000003,59.958743999999996,8077
7277,Леонтьевский мыс,ЖК Леонтьевский мыс,30.267721,59.963440000000006,9058
50199,"Московский, 65 (Легенда Московского)","ЖК Московский, 65",30.317287,59.907486,8075
8435,Особняк Кушелева-Безбородко,Клубный дом Особняк Кушелева-Безбородко,30.340582,59.948657999999995,14285
46193,ЦДС Московский,ЖК ЦДС Московский,30.341441999999997,59.814034,2351
53830,Артхаус,ЖК Артхаус,30.339910999999997,59.918022,9071
32028,Малая Финляндия,ЖК Малая Финляндия,28.757292,60.719467,10812
19803,UP-квартал Московский,UP-квартал Московский,30.372488,59.812641000000006,9085
15420,NEO (НЕО),Жилой дом Neo,30.332516,59.83424399999999,8114
48365,VEREN NEXT октябрьская (Верен Некст октябрьская),ЖК Veren Next октябрьская,30.474712,59.872063,10814
44789,Ligovsky city-Второй квартал (Лиговский сити-Второй квартал),ЖК Второй Квартал,30.346231,59.905894999999994,9164
45671,One Trinity Place,ЖК One Trinity Place,30.277271000000002,59.964408999999996,13053
1320389,Modum,Квартал Modum,30.200499,60.0331,1303
8832,ЭкоСити,ЖК EcoCity,30.422855,60.122192000000005,7132
869827,Квартал Che (Квартал Че),Квартал Che,30.331353999999997,59.897445999999995,8110
162983,Форсайт,Клубный дом Форсайт,30.385344,59.937416000000006,1607
7972,Петровская ривьера,ЖК Петровская ривьера,30.258581,59.959568000000004,7132
7437,ЦДС Новое Янино,ЖК ЦДС Новое Янино,30.573214,59.952141000000005,2351
7933,Русский дом,ЖК Русский дом,30.352665000000002,59.940487,8114
7107,Legenda Комендантского (Легенда Комендантского),ЖК Legenda Комендантского,30.230807000000002,60.030852,8075
